Unnamed: 0.1,proposalID.id,voters.id,support,single_vote,name
243,16,0x4af997f78067dc2458cde261ffab863afa5cc357,1,10600000000000000,
660,16,0xdbabf33f0d2464c9ac403acb67ef0e3340a0c031,1,10400000000000000,
271,16,0x50391a21cd153598bf1460d7d1efc0947e5f8e96,1,13200000000000000,
270,16,0x500d1ad4a32708004d9ceb3e3c56e20d8d9260ed,1,10000000000000000,
418,16,0x7aff62aeef41384409717537a7eefaab7318ce6f,1,20000000000000000,
393,16,0x6f1fd6ba42f11799913e6a91b6458ea9cd6887ca,1,20000000000000000,
752,16,0xfea0b67bd8874681dca1973211cde2b362b13aa7,1,20000000000000000,
539,16,0xa64eee5982d0af699c00b1eabfb01747c89780b4,1,14700000000000000,
500,16,0x8f180fd387cfe63b77bfb09c07995464cf3e7d7f,1,20000000000000000,
42,16,0x0b722a091442551d5571d14083846e7c3873ded9,1,12200000000000000,
659,16,0xd99b6ab349c2c11aa96c6f2a1404cfd33384f5c0,1,20000000000000000,
655,16,0xd6f06053661e92313ae026054f2f4f8a708b0789,1,17200000000000000,
654,16,0xd67d2f08cbc0e3b4cd6db121b5e0c0e5425268a2,1,18700000000000000,
653,16,0xd53b399bf34305d1cd665c2b092d787c8a5e45b7,1,17400000000000000,
651,16,0xd4a7385d50fa958d66d0df590e3204211a6027e0,1,20000000000000000,
245,16,0x4b77909b88acd29d364fa4b3cc8ac9464aa9e32a,1,20000000000000000,
43,16,0x0b8e5fd8815d5995a42cc6f5b652d183f4057f01,1,20000000000000000,
657,16,0xd7531b907f0429980828f8b65029ea1ba1d85515,1,20000000000000000,
407,16,0x74999ec4c27daaedaa9a953ed371f640c911ec38,1,20000000000000000,
649,16,0xd43c50231c2d4273d968e649d2112e78cffaeb99,1,20000000000000000,
405,16,0x744208576858aa6bfcd705beb4f8d0b45bbb8d4d,1,20000000000000000,
395,16,0x7003d62e923e647658d274bf967b47696a69e574,1,3000000000000000,
390,16,0x6e03f76fb77c3b27a1742bbab1ffa6ab4907ed5b,1,20000000000000000,
425,16,0x7e49a9563601eaaad6794658355516e4ce7539f3,1,20000000000000000,
389,16,0x6d44f7fadaa7464fcb6c232693e4d889888066c9,1,20000000000000000,
386,16,0x6cf42e7e57b83aec88621173cdbe20d2261845d0,1,20000000000000000,
371,16,0x6a7507970726809f79950d2cee4404b53acbd07b,1,6000000000000000,
370,16,0x696ceb745c4e909e872c9a5824a708154e44307a,1,13900000000000000,
366,16,0x6806f5a7d35f6b31f8cee5799fa7f70571b0d2b6,1,20000000000000000,
362,16,0x66eae57797dbd63921e1ddb4dee25e9f4b22bc35,1,20000000000000000,
354,16,0x60940e44372ab21e66e30494c9f09b4e154b5143,1,20000000000000000,
352,16,0x5e625fe8b18a18823795308015e6734e9f125720,1,20000000000000000,
272,16,0x50c0dbacf5d99cdd70e57dfd26d43fff89f9b4f2,1,20000000000000000,
650,16,0xd471a840ec81be3ce5e1325413581a1eaf5dcc11,1,20000000000000000,
275,16,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8,1,9209559521063213104407,bobjiang.eth
319,16,0x5869cecfc285e2cbd115f69df3495927dc763794,1,20000000000000000,
318,16,0x575b498f184aa6785efd25fe68f3702e2157e8c6,1,14800000000000000,
317,16,0x5712171abca3743563a4594430b4cfe123711d9e,1,20000000000000000,
404,16,0x73ff47c09efa4a2cb385c730a4adff967321b93d,1,20000000000000000,
293,16,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,1,1548866106333611284546133,simona.eth
398,16,0x72c8353cdd7dc1f3d240a699042e8e63a4e0eb9d,1,16200000000000000,
82,16,0x159b145e3b4a6e44c30ee2b310db3ad0716cfb8d,1,20000000000000000,
439,16,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,1,929553092909037991826728,griff.eth
253,16,0x4c164c5301addb304193146bd350c98a6950f1ae,1,18900000000000000,
406,16,0x74959bf4bac22664f7d0fd03596e7d3da397c009,1,20000000000000000,
470,16,0x8aef1645d9c40e5e0b770077e3a595175f28a4e7,1,20000000000000000,
464,16,0x885ac62415e534665e80ca205290a3798da91159,1,20000000000000000,
477,16,0x8cc2c2b764d5a0e76e45af8bd037bd989a16b2c9,1,10200000000000000,
426,16,0x8073c62366973b9960f4561f6a72c5826b75e828,1,21258500000000000000,futurafree.eth
403,16,0x736a794e2cd1b042e41b416e5e2083584bea2712,1,16600000000000000,
424,16,0x7e3f41e32b85799c75327f883362af32a2d3e7e4,1,11500000000000000,
316,16,0x57037b585567535ff910fad7f3f1e687958cbc5a,1,20000000000000000,
264,16,0x4d70990f98551b89a3c72734bfea31dd914da2bd,1,16000000000000000,
51,16,0x0d3da428dd261410aab95ef751ebb0b0f6f04c0d,1,10900000000000000,
244,16,0x4b7389c67d8dbeead35979edc7c5fa27226eb9b8,1,20000000000000000,
131,16,0x241c7a73b6d886a995bf704f408f998b5fcaeda8,1,20000000000000000,
526,16,0xa1d86fa5e35d7f9cb6f43ee8a5db3499a3fda421,1,14600000000000000,
503,16,0x905c1a4eb2a84cb864c6909499ba202a03f0aa17,1,20000000000000000,
505,16,0x91a472abe81fb977f36e5253b41b8fd33a2dde28,1,12300000000000000,
506,16,0x920eb9085e77ac5ad037bed5e90928ff1e33e885,1,20000000000000000,
508,16,0x938e3b0e9e70607c50c2629fa434b9a4e5f28421,1,20000000000000000,
509,16,0x9471f3334397514f838675eca6a994d90254e6c1,1,17100000000000000,
511,16,0x96a7bfd2739c2b5c05c094e6b50ba65e770ab138,1,20000000000000000,
515,16,0x98fc6112749f7663cc537ca3330af68109891c09,1,20000000000000000,
520,16,0x9c8c14c08d6cea7fed381f585d68063d51b66bfb,1,16800000000000000,
524,16,0x9fe9c540b222689ce947197a275ffd3deed5d787,1,15900000000000000,
527,16,0xa2700beb3b465e67e24f1d9dfa4f3e20b51cfd61,1,20000000000000000,
561,16,0xb13acd5784a535ff854297f0445769efc200cb9f,1,14500000000000000,
530,16,0xa30ab83e693ad49f3f651085dad11d049c818923,1,174907791448615603895739,
534,16,0xa319744f71038a8602a5bae5f72656bb77906e79,1,12000000000000000,
540,16,0xa740ce8f73cfea4789b3a5d9024113f7818b2e0b,1,15700000000000000,
541,16,0xa9a3e9f8c50a97a872ecd7418e2efeed82946241,1,12400000000000000,
549,16,0xab4d02267bb843c7f51ed34b698e18ba276dd9b5,1,15600000000000000,
609,16,0xc5cf8fdd07c1eeab8a193b5145aa403ec084b71a,1,20000000000000000,
564,16,0xb2ed6de66f527a88fee596a5f7ddcc30c5031571,1,17900000000000000,
566,16,0xb35a83bda02c2cb5af44a8afc79431f9c11e505c,1,20000000000000000,
607,16,0xc54c577729bb114c7838fb839a74321c9d04efd1,1,20000000000000000,
569,16,0xb4a2b428f5f46772abc83b553e4ed7bc6e096378,1,18200000000000000,
570,16,0xb4a3ac905164bf9e8dff4b6f04b1eab55814642a,1,80000000000000000,
572,16,0xb4da408106a7545130e64c559ecb65fdce8c21ef,1,20000000000000000,
576,16,0xb606fdf543b3397bd0e6559b693ae8d60da4a46a,1,20000000000000000,
578,16,0xb860bf346ebfd675c8aa521e9b8e6ac352babac6,1,15400000000000000,
581,16,0xb883c400a2a709e3cf20245ce76c2327f28e3740,1,20000000000000000,
582,16,0xb9366fe9429c75e0d45726abb2d52c5db6aa4e85,1,16900000000000000,
583,16,0xbae00268df54cbd6e689de1ea3b2aafa52dd19a9,1,10500000000000000,
554,16,0xac8e9cbcd6120f2a09eaa3a73d7e140995337346,1,10100000000000000,
587,16,0xbbae80a1d2ea6ae0dce2ced1cff1b903e8cfea63,1,20000000000000000,
589,16,0xbc9a6ebad551bc82b57d783cbefa8fc90cdbde3a,1,20000000000000000,
590,16,0xbd22f178cebac09fb4d4508c682fec1a18700dc7,1,20000000000000000,
592,16,0xbe6e8588a539c015c32b947deebbae6ba7ea6419,1,20000000000000000,
593,16,0xbfc4ee67d03dd3450e9e53137b8db0a347cd086a,1,18800000000000000,
594,16,0xc1563d51c3cdae5bbbff9bc8f1c37a1ea50950fc,1,10300000000000000,
