,proposal,voter,support,single_vote,name
1826,98,0xf6c625851d48fe26b50d96b821a87efc7e35c222,1,1,1fortytwo.eth
934,98,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,13,hot.4156.eth
1730,98,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401,1,1,budlight.beer.eth
1328,98,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,1,1,noun109.eth
1250,98,0xa86882277e69fbf0a51805cdc8b0a3a113079e63,1,2,krel.eth
1073,98,0x9a2f6117d1ffa82ad0a2b36f133d476db5bd55f5,1,1,bigint-vault.eth
1434,98,0xbd7dbab9aeb52d6c8d0e80fcebde3af4cc86204a,2,6,joshuafisher.eth
1599,98,0xd19bf5f0b785c6f1f6228c72a8a31c9f383a49c4,1,3,cdt.eth
1273,98,0xa8d04cd4e1951291740ef977d56336fdc7f394c5,1,5,wahoo.eth
1163,99,0xa4e232fceedb3f43c8e707f8cf20b6bcf30f10e1,1,1,blequity.eth
1731,99,0xe8d24be3abf6eb27b800f752a969d3c1e84fd401,0,1,budlight.beer.eth
373,99,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,1,1,beautyandthepunk.eth
1674,99,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f,1,3,
57,99,0x008c84421da5527f462886cec43d2717b686a7e4,1,5,noun12.eth
1531,99,0xcc2688350d29623e2a0844cc8885f9050f0f6ed5,1,12,nouncil.eth
744,99,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,1,1,skilift.eth
1626,99,0xd44e9b676e74ae45c0a39150be771eb189bb2337,1,2,max-power-motors.eth
1329,99,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,0,1,noun109.eth
1367,99,0xb1c41c71d36cedea7ddcd5f8d5c5c32ba8f3cbfc,1,3,
163,99,0x1bde33dbc5c2ac7109c4a7ecf0d0a0a6cd6f57cc,1,1,yukihamada.eth
935,99,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,1,13,hot.4156.eth
