,proposal,voter,support,single_vote,name
188,44,0x0dc1f2633d657122d67735d9606e0b29f5523aef,1,1.0008356785702774,
574,44,0x2b384212edc04ae8bb41738d05ba20e33277bf33,1,7734.943619612217,arr00.eth
1127,44,0x5274b3bebc974f3cf661efe149bf4c6f4cdc59d2,1,4773.3099999999995,
1777,44,0x7f89077b122afaaf6ab50aa12e9cb46bb9a058c4,1,12018.20777573,
627,44,0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,1,0.58903366,
34,44,0x03f061f6357195dbb545820a6cd9a2ed2b087618,1,23.019700158264143,
1774,44,0x7f843d2df640b5f986b9c14c405a1728f8084d0b,1,40.76409604844586,
961,44,0x458ceec48586a85fcfeb4a179706656ee321730e,1,50000.01746401232,calblockchain.eth
1738,44,0x7d4e5ee8ab737ab69ba56bb329e456c715af6786,1,0.03625,
1398,44,0x63dae0946a44eeead00c8b30ec206fda63f7dfe1,1,0.05,
2043,44,0x8c80c1fe10912398bf0fe68a25839defcaef588e,1,0.08758597651741742,normiefren.eth
530,44,0x27c77ef94a5d8881f5c5b5bc5580a8e4b6f4bca4,2,1.0,
2319,44,0x9b68c14e936104e9a7a24c712beecdc220002984,1,646.5427289822301,getty.gfxlabs.eth
474,44,0x20a608d30b77773936a3ab3529d339b61dd7cd3d,1,0.06635323383491364,bartfrito.eth
533,44,0x27de0fa057415f722365e64a7005d80cb2f3be1f,1,0.029,
1839,44,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,102.75636161414054,
908,44,0x44c69653fa05b0e7c12488a4441b9368da43aabd,1,0.25,jthrack.eth
1417,44,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126085.00003587862,
481,44,0x2144bf59c3091ddc81169a3117593f679ecb9859,1,2.1807045282062343,
1568,44,0x711d5f5ebd6adc28bd87f0256d9c154a6218c12f,1,0.02,
1526,44,0x6c5b82ebd4bcde97efbdac727e68b6ca2e45efce,1,1.0,
2152,44,0x90eb355a85ea5324529224945bb55f1960da1b47,1,0.30318708840739284,
867,44,0x42275eea81d6eba5ba00718e85af8080dd38069d,1,2.93715896,
1727,44,0x7c59a6ac0edea2375618ef4cb5b1a1e97f8ecb90,1,0.05454428,
883,44,0x42add773b02585dbaf024db751d8944618ada20a,1,0.03,hater.eth
1192,45,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100075.901094472,
2046,45,0x8d07d225a769b7af3a923481e1fdf49180e6a265,1,12514.38334879738,monetsupply.eth
1257,45,0x582cd2fb9b6f228acf4edf8f6c608ddace41d468,1,6563.589999999999,
1418,45,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126146.28723815212,
1296,45,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,57785.755787858405,
345,45,0x18c8f1222083997405f2e482338a4650ac02e1d6,2,18378.75,
804,45,0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,1,100064.77869098513,
2320,45,0x9b68c14e936104e9a7a24c712beecdc220002984,1,10646.542728982231,getty.gfxlabs.eth
1778,45,0x7f89077b122afaaf6ab50aa12e9cb46bb9a058c4,1,8018.20777573,
1840,45,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,102.75636161414054,
1128,45,0x5274b3bebc974f3cf661efe149bf4c6f4cdc59d2,1,4773.3099999999995,
445,45,0x1dd7572702295a30201c4e48d19c40bf4eae5962,1,0.04958785,
909,45,0x44c69653fa05b0e7c12488a4441b9368da43aabd,1,0.25,jthrack.eth
