,id_proposal,support_votes
2000,"('0x8d07d225a769b7af3a923481e1fdf49180e6a265', '102')","(1, '70014383254833468741034')"
1262,"('0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c', '102')","(1, '48306399462058402606729')"
1428,"('0x683a4f9915d6216f73d6df50151725036bd26c02', '103')","(1, '100042801077085216855600')"
2267,"('0x9d7711db9cdeacb073d689e79c50c648820ac650', '103')","(1, '90000000000000000000')"
906,"('0x45041ce9f1f3a8a3c434bb0aed242064e6023424', '103')","(1, '4244645056554407212')"
2159,"('0x987f05b5eeb8b30b02329d3888bebc3a7424e999', '103')","(1, '1000000000000000000')"
1016,"('0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9', '103')","(1, '174539910726058188')"
273,"('0x13bdae8c5f0fc40231f0e6a4ad70196f59138548', '103')","(1, '50000000000000000000000')"
1809,"('0x84e39a52d7f3f8fb63723782653d4cf71c465a95', '103')","(1, '11500471444371433923')"
2001,"('0x8d07d225a769b7af3a923481e1fdf49180e6a265', '103')","(1, '70014383254833468741034')"
1910,"('0x88fb3d509fc49b515bfeb04e23f53ba339563981', '103')","(1, '105042045795370000000000')"
1169,"('0x54a37d93e57c5da659f508069cf65a381b61e189', '103')","(1, '87597598231759879091047')"
1911,"('0x88fb3d509fc49b515bfeb04e23f53ba339563981', '104')","(1, '105056316837033894909346')"
572,"('0x2b384212edc04ae8bb41738d05ba20e33277bf33', '104')","(1, '20055923611359932665640')"
1017,"('0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9', '104')","(1, '174539910726058188')"
907,"('0x45041ce9f1f3a8a3c434bb0aed242064e6023424', '104')","(1, '4244645056554407212')"
1111,"('0x535b3ddd9939056cb6d74d1253ae1a4adf5d723a', '104')","(1, '50000000000000000000000')"
1810,"('0x84e39a52d7f3f8fb63723782653d4cf71c465a95', '104')","(1, '11500471444371433923')"
1655,"('0x7c5c0816819e0bd13146f1e7747f4786a59100a7', '105')","(1, '200000000000000000')"
2096,"('0x91f7c7dc5a44276482c102178fe1d620b397c276', '105')","(1, '200000000000000000')"
1670,"('0x7da0e97cb78832463914392b5d414c1befa1fb01', '105')","(1, '100000000000000000')"
452,"('0x2117eb88300a5afa11ee55e3c4f2ff0157718bd1', '105')","(1, '100000000000000000')"
522,"('0x2932f6f3e0b803764a5db5c75eed3fa5ab0de2cf', '105')","(1, '250000000000000000')"
798,"('0x40cb0b19d71eda986c275c85a6e5b26b6ac7e2e4', '105')","(1, '149562024383775718')"
1930,"('0x8a7f59a08affa649b4fe8ef3da6b192f673e7b1f', '105')","(1, '0')"
2093,"('0x916b7b7181d8115fa66c5cbf4d73b2ba7fca44c2', '105')","(1, '100000000000000000')"
2091,"('0x91400be76b7171cf932ae252390d2b60e2c73013', '105')","(1, '30000000000000000000')"
524,"('0x294388d7f62065784666f797ca6919a4b8cef4ab', '105')","(1, '150000000000000000')"
456,"('0x2145814e43a49844d7f03a4d00fc240c7c8e329b', '105')","(1, '0')"
775,"('0x3ecfba75d5a113241ec899888319a9e1e456ee9a', '105')","(1, '14242960000000000')"
