,Unnamed: 0,voters.id,proposalID.id,support,single_vote,name
1099,1099,0x5408db02c6d7c1fdded2e077f1a36b46814fa2cb,99,1,75000000000000000,
1100,1100,0x540cb04ebab67e05a620b97bb367ac5e4ed68f09,111,1,0,biewen.eth
1101,1101,0x542def0bd5c808ddf56ebd35e84a4b1650518a14,105,1,200000000000000000,gedada.eth
1102,1102,0x542def0bd5c808ddf56ebd35e84a4b1650518a14,106,1,200000000000000000,gedada.eth
1103,1103,0x542def0bd5c808ddf56ebd35e84a4b1650518a14,111,1,200000000000000000,gedada.eth
1104,1104,0x543b65d285d708b6f23d667a0cc554fb22b458d7,93,1,0,ananae.eth
1105,1105,0x5469f22fc52ad7a5e1f430a75b1cbd542393dfb0,109,1,0,dao100.eth
1106,1106,0x5488e957fbbc81efa32d257897b699a5835178ac,110,1,100000000000000000,
1107,1107,0x54914f8bb055565e1447c4a1739124c95ba9b141,109,1,1000100000000000000,long1.eth
1108,1108,0x54a37d93e57c5da659f508069cf65a381b61e189,43,1,100085141161342079381082,
1109,1109,0x54a37d93e57c5da659f508069cf65a381b61e189,44,1,100080204109739681497268,
1110,1110,0x54a37d93e57c5da659f508069cf65a381b61e189,45,1,100075901094472003327941,
1111,1111,0x54a37d93e57c5da659f508069cf65a381b61e189,46,1,100075901094472003327941,
1112,1112,0x54a37d93e57c5da659f508069cf65a381b61e189,47,1,100079954678959572661660,
1113,1113,0x54a37d93e57c5da659f508069cf65a381b61e189,49,1,100079954678959572661660,
1114,1114,0x54a37d93e57c5da659f508069cf65a381b61e189,50,1,100086952356099018875280,
1115,1115,0x54a37d93e57c5da659f508069cf65a381b61e189,51,1,100080401890185034094723,
1116,1116,0x54a37d93e57c5da659f508069cf65a381b61e189,52,1,100080401890185034094723,
1117,1117,0x54a37d93e57c5da659f508069cf65a381b61e189,53,1,100077314010428727768585,
1118,1118,0x54a37d93e57c5da659f508069cf65a381b61e189,54,1,100077314010428727768585,
1119,1119,0x54a37d93e57c5da659f508069cf65a381b61e189,56,1,100074198518527135492170,
1120,1120,0x54a37d93e57c5da659f508069cf65a381b61e189,57,1,100074198518527135492170,
1121,1121,0x54a37d93e57c5da659f508069cf65a381b61e189,58,1,100074198518527135492170,
1122,1122,0x54a37d93e57c5da659f508069cf65a381b61e189,60,1,100074198518527135492170,
1123,1123,0x54a37d93e57c5da659f508069cf65a381b61e189,64,1,100216303630966955501900,
1124,1124,0x54a37d93e57c5da659f508069cf65a381b61e189,66,1,100064774681981781074209,
1125,1125,0x54a37d93e57c5da659f508069cf65a381b61e189,67,1,100064774681981781074209,
1126,1126,0x54a37d93e57c5da659f508069cf65a381b61e189,69,1,100065302543367839652315,
1127,1127,0x54a37d93e57c5da659f508069cf65a381b61e189,72,1,100064817281534110083870,
1128,1128,0x54a37d93e57c5da659f508069cf65a381b61e189,74,1,100064817281534110083870,
1129,1129,0x54a37d93e57c5da659f508069cf65a381b61e189,77,1,100064817281534110083870,
1130,1130,0x54a37d93e57c5da659f508069cf65a381b61e189,82,1,100081897895182627862045,
1131,1131,0x54a37d93e57c5da659f508069cf65a381b61e189,84,0,87580897895182627862045,
