,id_proposal,support_votes
1323,"('0x24621aa4dde07f04c57146d83468969010b7489e', '11')","(1, '1503000000000000000')"
1909,"('0x33dd3068aad472829b0c651d7bc92daff105de9f', '11')","(1, '1000099000000000000')"
2129,"('0x39f45cfbfb7340d095318d4ede9583d83158e9dc', '11')","(1, '1100000000000000000')"
1054,"('0x1d61e9da982b0381c78966e4f745c36bf17f4266', '11')","(1, '1160000000000000000')"
1769,"('0x303745f94c08ec5738c9fe447594e20364dca04f', '11')","(1, '1030000000000000000')"
1616,"('0x2bb6f794fa75dba6cc43e04c2e8818569bbcb830', '11')","(1, '10000000000000000')"
756,"('0x15dc00582e988ad3253102f78880aaa3e29448a5', '11')","(1, '1100000000000000000')"
337,"('0x080a75c96bf646cd9f78aaf8c9869a510e9c68bb', '11')","(1, '1000000000000000000')"
1615,"('0x2bb6d1b63567bebf526adeceaf0882571b81bd02', '11')","(1, '1000000000000000000')"
1614,"('0x2baf8f61f15bb1c23403c9b48c365ad6f488ed16', '11')","(1, '0')"
1611,"('0x2b9b90ef512c6b8fc72ec37097e68d5197ace640', '11')","(1, '1000009000000000000')"
1318,"('0x242f20589e3aa594d5014a58501f376861984f65', '11')","(1, '11000000000000000000')"
1050,"('0x1d4d2a31bf1eb40dd5222250f0fafcdecc460250', '11')","(1, '1000000000000000000')"
1049,"('0x1d34683335d2c0ce9420fed0b89dab97254425b5', '11')","(1, '1000099000000000000')"
1047,"('0x1d33180a03869a7f6126022d31f71fa640ebd020', '11')","(1, '1100000000000000000')"
1321,"('0x244ca346b274de703567ecb7a3d927125389092d', '11')","(1, '100000000000000000')"
1056,"('0x1d7cc75476009dac32b6f5dffce5f282f6a06c07', '11')","(1, '1000000000000000000')"
701,"('0x146719bac42bb8b5ee453c9fac4e3cf26349e85b', '11')","(1, '100000000000000000')"
450,"('0x0bfd9072a17a34b63f51d53a865aa6e94dbf80ac', '11')","(1, '1000009000000000000')"
1242,"('0x22c761396c173151b130134b3981eafeaa8c5d52', '11')","(1, '1000000000000')"
634,"('0x13075e264b96173be15846381d7c6b37a72c712a', '11')","(1, '1100000000000000000')"
563,"('0x11032f66e972cf06a8c0f29e467a219f40fd3bb7', '11')","(1, '100000000000000000')"
562,"('0x10fbadbb8125aedc700c5a768f1d3683e4be7ffb', '11')","(1, '1160000000000000000')"
561,"('0x10faa4db982b861ad4be47b2b94c5b4c6f1969d8', '11')","(1, '10000000000000000')"
1677,"('0x2d2d768fd67b3ce4673049d0c39e2ddf2af4c2bf', '11')","(1, '1000000000000000000')"
1194,"('0x2168577af945529fc223e3a2f6d55cc68d8f294a', '11')","(1, '2371971247360556349')"
558,"('0x10865b0acb89cce3850d217f22cd98946cf3605c', '11')","(1, '100000000000000000')"
2012,"('0x367fd2379fa8f8d607b1498fd0b1f555a0b86889', '11')","(1, '1100000000000000000')"
637,"('0x130cef54df606018bfbd642b77c9d8fe70af09cd', '11')","(1, '1000000000000000000')"
1195,"('0x218a1ef42ae86043f4d5c215f36a337ae0270b19', '11')","(1, '1105499928121774198')"
638,"('0x132e0875c5c03fe899b58981cfbcb9468bbd0dbd', '11')","(1, '2000000000000000000')"
1710,"('0x2e250daefe4f3a32bfe06c0fb6400a9498a3e7c1', '11')","(1, '1160000000000000000')"
1197,"('0x218b7ef5cea63933857fe40a5eef30d0d7005e60', '11')","(1, '100000000000000000')"
1134,"('0x1f66c2da9c0b75fad451fb15ca8fcedd9a81fc31', '11')","(1, '1000000000000000000')"
566,"('0x1111111648cca5d28dc85e0b0b04b735491fd9ad', '11')","(1, '100000000000000000')"
548,"('0x102bde58fb272bb934de08abec4865b87f5862ad', '11')","(1, '1000000000000000000')"
1132,"('0x1f63690d46ac591366508eb66ff585f6d0bfc42e', '11')","(1, '10160000000000000000')"
1198,"('0x21a87de0383477e128ff7446f4117f72db5db97a', '11')","(0, '102198690000000000')"
2018,"('0x36f80088325b16c416d7237022f43f65d2acc906', '11')","(1, '1100000000000000000')"
2019,"('0x36fb76f8ce161770ca708afb6a81aa0428c9ea99', '11')","(0, '107980990000000000')"
2020,"('0x36fd38a212124a936c593f9c66163bd2f8445845', '11')","(1, '1100000000000000000')"
1711,"('0x2e2e48e5268b44dbe8bc61776be9748b0bcdad15', '11')","(1, '1000009000000000000')"
539,"('0x0ff9b6ab6ec58ceb6d5ae8a1690dd5a0959ad002', '11')","(1, '100000000000000000')"
646,"('0x135e60d23b3cd2c62b7cb582cc5bbe1c1fbd7238', '11')","(1, '2000000000000000000')"
1675,"('0x2d01964aea138c35433a29aaf96669796f884fbc', '11')","(1, '110000000000000000')"
647,"('0x136ea24d79406759487051e6f4cd403d412045ca', '11')","(1, '1100000000000000000')"
535,"('0x0fbed08f678ad127600a740f4758cb82d7c761b8', '11')","(1, '300000000000000000')"
534,"('0x0fb7e004a9a0fb1caf87fcbc0ad93b704ac70347', '11')","(1, '1000099000000000000')"
2024,"('0x371ea1e8fcb52083a2a6ee8bb44bb5540939fb82', '11')","(1, '100000000000000000')"
532,"('0x0f8aca6bb8d86bba87892efab1e19491c97387b7', '11')","(1, '100000000000000000')"
